drug,creationDate,type,status,targets
DB00001,2005-06-13,biotech,approved,BE0000048
DB00002,2005-06-13,biotech,approved,BE0000767;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00003,2005-06-13,biotech,approved,BE0004796
DB00004,2005-06-13,biotech,approved,BE0000658;BE0000651;BE0002102
DB00005,2005-06-13,biotech,approved,BE0000704;BE0000949;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0001087;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00006,2005-06-13,small molecule,approved,BE0000048
DB00007,2005-06-13,biotech,approved,BE0000203
DB00008,2005-06-13,biotech,approved,BE0000385;BE0000661
DB00009,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240
DB00010,2005-06-13,biotech,withdrawn,BE0000625
DB00011,2005-06-13,biotech,approved,BE0000385;BE0000661
DB00012,2005-06-13,biotech,approved,BE0000654
DB00013,2005-06-13,biotech,withdrawn,BE0000211;BE0000717;BE0000895;BE0001088;BE0000240;BE0000969;BE0002112;BE0000942;BE0001656;BE0002113
DB00014,2005-06-13,small molecule,approved,BE0000134;BE0000203
DB00015,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240
DB00016,2005-06-13,biotech,approved,BE0000654
DB00017,2005-06-13,biotech,approved,BE0000431
DB00018,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00019,2005-06-13,biotech,approved,BE0000793;BE0000394
DB00020,2005-06-13,biotech,approved,BE0000628;BE0001036;BE0002115;BE0002116;BE0002114
DB00021,2005-06-13,biotech,approved,BE0000318
DB00022,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00023,2005-06-13,biotech,approved,BE0004798
DB00024,2005-06-13,biotech,approved,BE0000490
DB00025,2005-06-13,biotech,approved,BE0000216;BE0000364;BE0001043;BE0002117;BE0002118;BE0001098;BE0002109;BE0001011;BE0002119;BE0002110;BE0002120
DB00026,2005-06-13,biotech,approved,BE0000565
DB00027,2005-06-13,small molecule,approved,NA
DB00028,2005-06-13,biotech,approved,BE0000710;BE0004684;BE0002098;BE0002099;BE0002100;BE0002097;BE0000901;BE0003455;BE0004685;BE0004686;BE0000855
DB00029,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240
DB00030,2005-06-13,biotech,approved,BE0000033;BE0000858;BE0002123;BE0000941;BE0001183;BE0002124;BE0001123;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00031,2005-06-13,biotech,approved,BE0000211;BE0000538;BE0000717;BE0000240;BE0000969;BE0002104;BE0002105;BE0001170;BE0002109;BE0001011;BE0002110
DB00032,2005-06-13,biotech,approved,BE0000387;BE0000134
DB00033,2005-06-13,biotech,approved,BE0000711;BE0000467
DB00034,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00035,2005-06-13,small molecule,approved,BE0000293;BE0000165;BE0000773
DB00036,2005-06-13,biotech,approved,BE0000216;BE0002128;BE0000967;BE0000403;BE0000333;BE0001178
DB00038,2005-06-13,biotech,approved,BE0000416
DB00039,2005-06-13,biotech,approved,BE0000748;BE0002129;BE0002131;BE0001203;BE0002133;BE0001031
DB00040,2005-06-13,biotech,approved,BE0000527;BE0002134;BE0000857
DB00041,2005-06-13,biotech,approved,BE0000651;BE0000658;BE0002102
DB00042,2005-06-13,biotech,approved,BE0002137;BE0002136;BE0002138
DB00043,2005-06-13,biotech,approved,BE0000015;BE0002139
DB00044,2005-06-13,biotech,approved,BE0000134
DB00045,2005-06-13,biotech,withdrawn,BE0001164
DB00046,2005-06-13,biotech,approved,BE0000033;BE0000858
DB00047,2005-06-13,biotech,approved,BE0000033;BE0000858
DB00048,2005-06-13,biotech,approved,BE0000025;BE0002140;BE0002130;BE0002141
DB00049,2005-06-13,biotech,approved,BE0004823
DB00050,2005-06-13,small molecule,approved,BE0000203;BE0000134
DB00051,2005-06-13,biotech,approved,BE0000704;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00052,2005-06-13,biotech,approved,BE0000075;BE0000345
DB00053,2005-06-13,biotech,approved,BE0004806
DB00054,2005-06-13,biotech,approved,BE0001155;BE0000439;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100;BE0001068
DB00055,2005-06-13,biotech,withdrawn,BE0000016;BE0000041;BE0000240;BE0001151;BE0000943;BE0001140;BE0000048;BE0001129;BE0002112;BE0002142;BE0000403;BE0001161
DB00056,2005-06-13,biotech,approved,BE0000674;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00057,2005-06-13,biotech,withdrawn,BE0004842
DB00058,2005-06-13,biotech,approved,BE0000394
DB00059,2005-06-13,biotech,approved,BE0004798
DB00060,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00061,2005-06-13,biotech,approved,BE0004828;BE0000917
DB00062,2005-06-13,biotech,approved,NA
DB00063,2005-06-13,biotech,approved,BE0001155
DB00065,2005-06-13,biotech,approved,BE0000704
DB00066,2005-06-13,biotech,approved,BE0000387
DB00067,2005-06-13,small molecule,approved,BE0000293;BE0000165;BE0000773
DB00068,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00069,2005-06-13,biotech,approved,BE0000661;BE0000385
DB00070,2005-06-13,biotech,approved,BE0004821;BE0000984
DB00071,2005-06-13,biotech,approved,BE0000033;BE0000858;BE0001183;BE0002122;BE0004466;BE0002123;BE0000941;BE0001123;BE0002124;BE0002125;BE0001147;BE0000942;BE0002126;BE0002127
DB00072,2005-06-13,biotech,approved,BE0000511;BE0000767;BE0002093;BE0002094;BE0002095;BE0002096;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100;BE0000901;BE0002097
DB00073,2005-06-13,biotech,approved,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00074,2005-06-13,biotech,approved,BE0000658;BE0000651;BE0000710;BE0002097;BE0002098;BE0002099;BE0002100;BE0000901;BE0001529;BE0002093;BE0002094;BE0002095;BE0002096
DB00075,2005-06-13,biotech,approved,BE0003456;BE0000274;BE0003457;BE0003458;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00076,2005-06-13,biotech,approved,BE0004837
DB00078,2005-06-13,biotech,approved,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0001529;BE0000710;BE0002098;BE0002099;BE0002100
DB00080,2005-06-13,small molecule,approved,BE0004833;BE0004832
DB00081,2005-06-13,biotech,approved,BE0000066;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00082,2005-06-13,biotech,approved,BE0000075
DB00083,2005-06-13,biotech,approved,BE0000390;BE0003572
DB00085,2005-06-13,biotech,approved,BE0004834;BE0004835;BE0004836
DB00086,2005-06-13,biotech,approved,BE0000211;BE0000928
DB00087,2005-06-13,biotech,approved,BE0000083;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00088,2005-06-13,biotech,approved,BE0004806
DB00089,2005-06-13,biotech,approved,BE0000568
DB00090,2005-06-13,biotech,approved,BE0004822
DB00091,2005-06-13,small molecule,approved,BE0000379;BE0002143;BE0001014;BE0001399
DB00092,2005-06-13,biotech,withdrawn,BE0000719;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100;BE0000901
DB00093,2005-06-13,small molecule,approved,BE0000165
DB00094,2005-06-13,biotech,approved,BE0000387
DB00095,2005-06-13,biotech,approved,BE0000516;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00097,2005-06-13,biotech,approved,BE0000134;BE0000387
DB00098,2005-06-13,biotech,approved,BE0000598;BE0003573;BE0000516;BE0000846;BE0002099;BE0003488;BE0003575;BE0003576;BE0001155
DB00099,2005-06-13,biotech,approved,BE0000793;BE0000394
DB00100,2005-06-13,biotech,approved,BE0000216;BE0001021;BE0000333;BE0000016;BE0000048;BE0002110;BE0000403
DB00102,2005-06-13,biotech,approved,BE0000205;BE0000852;BE0000910
DB00103,2005-06-13,biotech,approved,BE0004830
DB00104,2005-06-13,small molecule,approved,BE0000452;BE0002147;BE0003528
DB00105,2005-06-13,biotech,approved,BE0000385;BE0000661
DB00106,2005-06-13,small molecule,withdrawn,BE0000203
DB00107,2005-06-13,biotech,approved,BE0000844;BE0000751
DB00108,2005-06-13,biotech,approved,BE0000590;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100;BE0001085
DB00109,2005-06-13,biotech,approved,BE0000398
DB00110,2005-06-13,biotech,approved,BE0000686;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00111,2005-06-13,biotech,withdrawn,BE0000658;BE0000651;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00112,2005-06-13,biotech,approved,BE0000163;BE0000901;BE0002093;BE0002094;BE0002095;BE0002096;BE0002097;BE0000710;BE0002098;BE0002099;BE0002100
DB00113,2005-06-13,biotech,approved,BE0000107
DB00114,2005-06-13,small molecule,approved,BE0000102;BE0000378;BE0000323;BE0000392;BE0000331;BE0000151;BE0000529;BE0000424;BE0000404;BE0000727;BE0000253;BE0000181;BE0000778;BE0000692;BE0000273;BE0000482;BE0000007;BE0000660;BE0000079;BE0000002;BE0000448;BE0000164;BE0000518;BE0000618;BE0000667;BE0000603;BE0000409;BE0000316;BE0000278;BE0000441;BE0000791;BE0000517;BE0000721;BE0002149;BE0000822;BE0000383;BE0002150;BE0000916;BE0002151;BE0002152;BE0002153;BE0002154;BE0002155;BE0002156;BE0002157;BE0002158;BE0002159;BE0002160;BE0002161;BE0002162;BE0002163;BE0004605;BE0004612;BE0002164;BE0002165;BE0000292;BE0000898;BE0002166;BE0002167;BE0002168;BE0002169;BE0002170;BE0000388;BE0002171;BE0002172;BE0002173;BE0002174
DB00115,2005-06-13,small molecule,approved,BE0000734;BE0000777;BE0000763;BE0000320;BE0002175;BE0002176
DB00116,2005-06-13,small molecule,other,BE0000617;BE0000268;BE0000010;BE0000933;BE0000734;BE0000822;BE0001240;BE0000331;BE0000292;BE0002176;BE0002154;BE0002177
DB00117,2005-06-13,small molecule,approved,BE0000002;BE0000740;BE0000285;BE0000086
DB00118,2005-06-13,small molecule,approved,BE0000372;BE0000101;BE0000304;BE0000323;BE0000407;BE0002089;BE0008997;BE0005015
DB00119,2005-06-13,small molecule,approved,BE0000449;BE0000178;BE0000102;BE0000386;BE0000046;BE0000174;BE0000440;BE0000098;BE0000088;BE0000253;BE0000195;BE0000361;BE0000669;BE0000698
DB00120,2005-06-13,small molecule,approved,BE0000692;BE0000789;BE0000038;BE0000753;BE0000028;BE0000561;BE0000614
DB00121,2005-06-13,small molecule,approved,BE0000544;BE0000159;BE0000094;BE0000072;BE0000702;BE0000445;BE0000698;BE0000492;BE0000626
DB00122,2005-06-13,small molecule,approved,BE0000494;BE0000426;BE0000615;BE0002179;BE0002180;BE0002181;BE0002186;BE0002341
DB00123,2005-06-13,small molecule,approved,BE0000212;BE0000052;BE0000136;BE0000562;BE0000198
DB00125,2005-06-13,small molecule,approved,BE0000263;BE0000136;BE0000448;BE0000520;BE0000005;BE0000212;BE0000758;BE0000052;BE0000671
DB00126,2005-06-13,small molecule,approved,BE0004338;BE0001361;BE0004796;BE0001225;BE0002192;BE0002117;BE0002195;BE0002197;BE0000138;BE0002200;BE0000060;BE0002202;BE0002203;BE0002205;BE0002206;BE0002208;BE0002210;BE0002211;BE0002213;BE0002215;BE0002217;BE0000168;BE0000087;BE0002219;BE0002221;BE0002223
DB00127,2005-06-13,small molecule,approved,BE0000964;BE0000566;BE0004796;BE0000404;BE0000509;BE0000172;BE0000694
DB00128,2005-06-13,small molecule,approved,BE0003317;BE0003751;BE0000277;BE0000529;BE0000187;BE0000219;BE0000671;BE0000481;BE0000383;BE0000725;BE0000235;BE0000528;BE0002225;BE0002227;BE0002228;BE0001054;BE0002152;BE0000788;BE0002229;BE0002230;BE0002231;BE0002232
DB00129,2005-06-13,small molecule,approved,BE0000424;BE0000306;BE0000286;BE0000371;BE0000562;BE0000258;BE0000052;BE0000212;BE0000758;BE0000201;BE0000136;BE0002233;BE0000347;BE0002234
DB00130,2005-06-13,small molecule,approved,BE0000874;BE0000374;BE0002240
DB00131,2005-06-13,small molecule,approved,BE0000958;BE0004796;BE0001277;BE0000487;BE0000007;BE0000254;BE0001473;BE0001287;BE0000746;BE0000350;BE0000677;BE0000774;BE0000269;BE0000639;BE0002431;BE0003540
DB00132,2005-06-13,small molecule,approved,BE0000888;BE0002246;BE0000986;BE0001023;BE0002247;BE0000071;BE0001777;BE0001007;BE0000215;BE0000412
DB00133,2005-06-13,small molecule,approved,BE0000323;BE0000164;BE0000388;BE0000660;BE0000441;BE0000063;BE0000316
DB00134,2005-06-13,small molecule,approved,BE0000763;BE0000734;BE0001534;BE0000845;BE0002249
DB00135,2005-06-13,small molecule,approved,BE0000614;BE0000363;BE0000230;BE0000692
DB00136,2005-06-13,small molecule,approved,BE0000779;BE0008987;BE0001141
DB00137,2005-06-13,small molecule,approved,NA
DB00138,2005-06-13,small molecule,approved,BE0000030;BE0000035;BE0002251;BE0001130
DB00139,2005-06-13,small molecule,approved,BE0002257;BE0002258;BE0002259;BE0002221;BE0002260;BE0002261;BE0000176;BE0000989;BE0000611;BE0000447;BE0000022;BE0000355;BE0002252;BE0002253;BE0002195;BE0002197;BE0000060;BE0002254;BE0000152;BE0002255;BE0002256;BE0000087;BE0000528;BE0002202;BE0002206;BE0002208
DB00140,2005-06-13,small molecule,approved,BE0000370;BE0003327;BE0000595
DB00141,2005-06-13,small molecule,approved,BE0002262;BE0002263;BE0002264;BE0002265;BE0002266;BE0000391;BE0000109;BE0000259
DB00142,2005-06-13,small molecule,approved,BE0000824;BE0000833;BE0000827;BE0000828;BE0000834;BE0000835;BE0002267;BE0002268;BE0002235;BE0000721;BE0000396;BE0002269;BE0000534;BE0002237;BE0000825;BE0000383;BE0000188;BE0000219;BE0002240;BE0000529;BE0000692;BE0000667;BE0000403;BE0001115;BE0000884;BE0001054;BE0000166;BE0002270;BE0000755;BE0000321;BE0000517;BE0000253;BE0000365;BE0000700;BE0002271;BE0000760;BE0000417;BE0000454;BE0002152;BE0002272;BE0002273;BE0002244;BE0002162;BE0002274;BE0000727;BE0000641;BE0002166;BE0002275;BE0002276;BE0000073;BE0000003;BE0002277;BE0002278;BE0000030;BE0004640;BE0000603;BE0000180;BE0000346;BE0000640;BE0000606;BE0000568;BE0000602;BE0000378;BE0000822;BE0000829;BE0000831;BE0000830;BE0000823;BE0000826;BE0000832
DB00143,2005-06-13,small molecule,approved,BE0002279;BE0001167;BE0002280;BE0002281;BE0002189;BE0002282;BE0002283;BE0000889;BE0001189;BE0002284;BE0001135;BE0002285;BE0002286;BE0001825;BE0002287;BE0002288;BE0002289;BE0002290;BE0002291;BE0002292;BE0000962;BE0001117;BE0000648;BE0000185;BE0000807;BE0000808;BE0000809;BE0000810;BE0000811;BE0000812;BE0000813;BE0000814;BE0000815;BE0000816;BE0000817;BE0000818;BE0000819;BE0000820;BE0000821;BE0000747;BE0000058;BE0002638
DB00144,2005-06-13,small molecule,approved,BE0002296;BE0002297;BE0002299;BE0002300;BE0002301;BE0001001;BE0001132;BE0001099;BE0000673;BE0000189
DB00145,2005-06-13,small molecule,approved,BE0000518;BE0000409;BE0000898;BE0002302;BE0000998;BE0000760;BE0002303;BE0002304;BE0000185;BE0000454;BE0002154;BE0002305;BE0000536;BE0000292;BE0002306;BE0002307;BE0000102;BE0002308;BE0002309;BE0002310;BE0000534;BE0000618;BE0000940;BE0000433;BE0000316;BE0000055;BE0000331;BE0000414;BE0000745;BE0000372;BE0000347
DB00146,2005-06-13,small molecule,approved,BE0000779
DB00147,2005-06-13,small molecule,approved,BE0000042
DB00148,2005-06-13,small molecule,approved,BE0000714;BE0000171;BE0000082;BE0000410;BE0000375;BE0000567
DB00149,2005-06-13,small molecule,approved,BE0000204;BE0000721;BE0000517;BE0000613;BE0000450;BE0000769
DB00150,2005-06-13,small molecule,withdrawn,BE0002311;BE0001343;BE0000228
DB00151,2005-06-13,small molecule,approved,BE0000606;BE0000166;BE0000529;BE0000791;BE0000323;BE0000701;BE0001145;BE0000185;BE0000963;BE0002312;BE0000079;BE0000151;BE0000569
DB00152,2005-06-13,small molecule,approved,BE0000157;BE0003530
DB00153,2005-06-13,small molecule,approved,BE0000779
DB00154,2005-06-13,small molecule,approved,BE0000017;BE0000262
DB00155,2005-06-13,small molecule,approved,BE0000671;BE0000608;BE0000788;BE0000766;BE0000306;BE0000067;BE0000005;BE0000263;BE0002313;BE0002314;BE0002315;BE0002316;BE0001092
DB00156,2005-06-13,small molecule,approved,BE0000482;BE0000234;BE0002317
DB00157,2005-06-13,small molecule,approved,BE0000645;BE0000227;BE0000299;BE0000360;BE0000465;BE0000400;BE0000522;BE0000208;BE0000297;BE0000009;BE0000747;BE0000317;BE0000780;BE0000425;BE0000148;BE0000408;BE0000100;BE0000149;BE0000068;BE0000586;BE0000377;BE0000328;BE0000175;BE0000589;BE0000128;BE0000336;BE0000574;BE0000604;BE0000161;BE0000184;BE0000771;BE0000559;BE0000011;BE0000194;BE0000006;BE0000570;BE0000357;BE0000578;BE0000438;BE0000722;BE0000592;BE0000552;BE0000662;BE0000126;BE0000329;BE0000059;BE0000051;BE0000761;BE0000260;BE0000133;BE0000131;BE0000622;BE0000044;BE0000193;BE0000231;BE0000718;BE0000554;BE0000720;BE0000287;BE0000583;BE0000479;BE0000446;BE0000542;BE0000513;BE0000600;BE0000152;BE0000135;BE0000595;BE0000728;BE0000225;BE0000180;BE0000098;BE0000609;BE0000571;BE0000741;BE0000762;BE0000330;BE0000162;BE0000755;BE0000031;BE0000220;BE0000655;BE0000073;BE0000196;BE0000307;BE0000617;BE0000268;BE0000244;BE0000160;BE0000541;BE0000551;BE0000540;BE0000503;BE0000008;BE0000473;BE0000305;BE0000272;BE0000081;BE0000401;BE0000224;BE0000348;BE0000580;BE0000169;BE0000213;BE0000545;BE0000550;BE0000367;BE0000684;BE0000676;BE0000173;BE0000338;BE0000493;BE0000245;BE0000295;BE0000284;BE0000427;BE0000512;BE0000596;BE0000729;BE0000243;BE0000313;BE0000376;BE0000027;BE0000737;BE0000191;BE0000648;BE0000754;BE0000089;BE0000500;BE0000485;BE0000137;BE0000525;BE0000569;BE0000093;BE0000319;BE0000037;BE0000421;BE0000065;BE0000010;BE0000096;BE0000735;BE0000587;BE0000344;BE0000252
DB00158,2005-06-13,small molecule,approved,BE0000271;BE0000652;BE0003405
DB00159,2005-06-13,small molecule,approved,BE0000262;BE0000017;BE0000215;BE0001007;BE0000888;BE0000996;BE0001093;BE0000688;BE0000986;BE0001023;BE0000071
DB00160,2005-06-13,small molecule,approved,BE0000316;BE0000253;BE0000392;BE0002318;BE0002164;BE0002166;BE0000667;BE0000151;BE0000536;BE0000789;BE0000102;BE0000294;BE0000480
DB00161,2005-06-13,small molecule,approved,BE0000544;BE0000517;BE0000223
DB00162,2005-06-13,small molecule,approved,BE0000726;BE0002319;BE0000583;BE0002320;BE0002321;BE0000032;BE0002322;BE0002323;BE0000900;BE0000301;BE0000570;BE0000593;BE0000255;BE0000513;BE0000554;BE0000786;BE0005056;BE0001167
DB00163,2005-06-13,small molecule,approved,BE0000956;BE0000872;BE0000248;BE0001132;BE0002324;BE0002325;BE0002326;BE0000076;BE0000339;BE0000256
DB00165,2005-06-13,small molecule,approved,BE0000042
DB00166,2005-06-13,small molecule,approved,BE0000040;BE0002327;BE0000094
DB00167,2005-06-13,small molecule,approved,BE0002328;BE0000573;BE0000517;BE0000721;BE0000491
DB00168,2005-06-13,small molecule,approved,BE0001023;BE0000395;BE0000582
DB00169,2005-06-13,small molecule,approved,BE0000779
DB00170,2005-06-13,small molecule,approved,BE0000403;BE0000713;BE0002329;BE0000048;BE0000333;BE0000364;BE0000216;BE0000380;BE0000943;BE0000547;BE0000220;BE0001184;BE0000724
DB00171,2005-06-13,small molecule,investigational,BE0000435;BE0001032;BE0001168;BE0001069;BE0000119;BE0000350;BE0000359;BE0000202;BE0000677;BE0000434;BE0000459;BE0000639;BE0000261;BE0000750;BE0000469;BE0000428;BE0000341;BE0000310;BE0000746;BE0000665;BE0000264;BE0000703;BE0000219;BE0000437;BE0000599;BE0000207;BE0000671;BE0000139;BE0000018;BE0000675;BE0000772;BE0000014;BE0000269;BE0003640;BE0001188;BE0000785;BE0001195;BE0002379;BE0001209;BE0005435;BE0005499;BE0003160
DB00172,2005-06-13,small molecule,approved,BE0002253;BE0002330;BE0002331;BE0002149;BE0000060;BE0002332;BE0001399;BE0002333;BE0001014;BE0002334;BE0002202;BE0002335;BE0002336;BE0002206;BE0002208;BE0004615;BE0002337;BE0000225;BE0000188;BE0000423;BE0000723;BE0000728
DB00173,2005-06-13,small molecule,approved,BE0000115;BE0002007;BE0000702;BE0003786;BE0002791;BE0002755;BE0002706;BE0004323;BE0002792;BE0004796;BE0001128;BE0001229
DB00174,2005-06-13,small molecule,approved,BE0000236;BE0002230;BE0002338;BE0000285;BE0000219;BE0000607
DB00175,2005-06-13,small molecule,approved,BE0000574
DB00176,2005-06-13,small molecule,approved,BE0000749;BE0000090
DB00177,2005-06-13,small molecule,approved,BE0000062
DB00178,2005-06-13,small molecule,approved,BE0000221;BE0005831
DB00179,2005-06-13,small molecule,approved,BE0000248;BE0000685
DB00180,2005-06-13,small molecule,approved,BE0000794
DB00181,2005-06-13,small molecule,approved,BE0000217;BE0002340
DB00182,2005-06-13,small molecule,approved,BE0000118;BE0000647;BE0000867;BE0001044;BE0000486;BE0004888;BE0004872;BE0000756;BE0002196;BE0000749;BE0004909;BE0008661
DB00183,2005-06-13,small molecule,approved,BE0001158
DB00184,2005-06-13,small molecule,approved,BE0000849;BE0002341;BE0000850;BE0000738;BE0003585;BE0003586;BE0003587;BE0002343;BE0000411;BE0003588;BE0003584;BE0002090;BE0000519
DB00185,2005-06-13,small molecule,approved,BE0000045;BE0000092
DB00186,2005-06-13,small molecule,approved,BE0004797;BE0000736
DB00187,2005-06-13,small molecule,approved,BE0000172
DB00188,2005-06-13,small molecule,approved,BE0002348;BE0002347
DB00189,2005-06-13,small molecule,withdrawn,BE0004797
DB00190,2005-06-13,small molecule,approved,BE0002151
DB00191,2005-06-13,small molecule,approved,BE0000486;BE0000749;BE0000647;BE0002198;BE0002196
DB00192,2005-06-13,small molecule,approved,BE0000197
DB00193,2005-06-13,small molecule,approved,BE0000770;BE0000486;BE0000749;BE0000533;BE0000632;BE0000420;BE0000641;BE0003438;BE0000045;BE0000092
DB00194,2005-06-13,small molecule,approved,BE0002350;BE0004796;BE0004499;BE0000458
DB00195,2005-06-13,small molecule,approved,BE0000172;BE0000694
DB00196,2005-06-13,small molecule,approved,BE0000233
DB00197,2005-06-13,small molecule,withdrawn,BE0000215;BE0000996;BE0000240;BE0001204;BE0002088;BE0003722;BE0001007;BE0000071;BE0000814
DB00198,2005-06-13,small molecule,approved,BE0000584;BE0002705;BE0000914;BE0003200
DB00199,2005-06-13,small molecule,approved,BE0004800;BE0003521;BE0000090;BE0000530
DB00200,2005-06-13,small molecule,approved,BE0000734;BE0000777;BE0000763;BE0000320;BE0000238;BE0000340;BE0000936;BE0000456;BE0002175
DB00201,2005-06-13,small molecule,approved,BE0000013;BE0000924;BE0000487;BE0000739;BE0004922;BE0002385;BE0002406;BE0002379;BE0002407;BE0004914;BE0004874
DB00202,2005-06-13,small molecule,approved,BE0000411;BE0003438;BE0000092;BE0000560;BE0000045
DB00203,2005-06-13,small molecule,approved,BE0000182;BE0003556;BE0003557
DB00204,2005-06-13,small molecule,approved,BE0000090;BE0000210;BE0001131
DB00205,2005-06-13,small molecule,approved,BE0000330;BE0000563;BE0001153
DB00206,2005-06-13,small molecule,approved,BE0000118;BE0004674;BE0003408
DB00207,2005-06-13,small molecule,approved,BE0004800;BE0002465;BE0002464;BE0001092
DB00208,2005-06-13,small molecule,approved,BE0000110
DB00209,2005-06-13,small molecule,approved,BE0000092
DB00210,2005-06-13,small molecule,approved,BE0000144;BE0000206;BE0000707;BE0000078;BE0000663;BE0000412;BE0000262
DB00211,2005-06-13,small molecule,approved,BE0000501;BE0000575;BE0000715
DB00212,2005-06-13,small molecule,approved,BE0000270
DB00213,2005-06-13,small molecule,approved,BE0000349
DB00214,2005-06-13,small molecule,approved,BE0000502
DB00215,2005-06-13,small molecule,approved,BE0000749;BE0000442;BE0000501;BE0000092;BE0000533
DB00216,2005-06-13,small molecule,approved,BE0000659;BE0000797;BE0000460;BE0000291;BE0000476;BE0000393;BE0000650
DB00217,2005-06-13,small molecule,approved,BE0004864;BE0000644;BE0004872
DB00218,2005-06-13,small molecule,approved,BE0000429;BE0000366;BE0000742
DB00219,2005-06-13,small molecule,approved,BE0000092
DB00220,2005-06-13,small molecule,approved,BE0000664
DB00221,2005-06-13,small molecule,approved,BE0000172;BE0000694
DB00222,2005-06-13,small molecule,approved,BE0000708;BE0000644;BE0000207
DB00223,2005-06-13,small molecule,approved,BE0000794
DB00224,2005-06-13,small molecule,approved,BE0004854
DB00225,2005-06-13,small molecule,approved,NA
DB00226,2005-06-13,small molecule,approved,BE0000486
DB00227,2005-06-13,small molecule,approved,BE0000574;BE0000516;BE0002366
DB00228,2005-06-13,small molecule,approved,BE0004797;BE0004857;BE0000415;BE0000781;BE0000218;BE0000640;BE0000484
DB00229,2005-06-13,small molecule,approved,BE0000576
DB00230,2005-06-13,small molecule,approved,BE0000356
DB00231,2005-06-13,small molecule,approved,BE0000795;BE0000381;BE0000523;BE0000478;BE0000471;BE0000764;BE0002344;BE0002346;BE0002345;BE0003593;BE0003592;BE0003594;BE0003599;BE0003595;BE0003596;BE0000129;BE0003598;BE0003619;BE0003597;BE0000736;BE0004797
DB00232,2005-06-13,small molecule,approved,BE0000502;BE0000267;BE0000322;BE0000535
DB00233,2005-06-13,small molecule,approved,BE0000262;BE0004655;BE0000248;BE0003768;BE0000054
DB00234,2005-06-13,small molecule,approved,BE0000486
DB00235,2005-06-13,small molecule,approved,BE0000436
DB00236,2005-06-13,small molecule,approved,BE0004796
DB00237,2005-06-13,small molecule,approved,BE0004797;BE0000849;BE0002341;BE0000829;BE0000826
DB00238,2005-06-13,small molecule,approved,BE0004136
DB00239,2005-06-13,small molecule,approved,BE0000233;BE0004668;BE0000956
DB00240,2005-06-13,small molecule,approved,BE0000794
DB00241,2005-06-13,small molecule,approved,BE0000795;BE0000381;BE0000523;BE0000478;BE0000471;BE0000764;BE0000849;BE0002341;BE0000829;BE0000826;BE0004797
DB00242,2005-06-13,small molecule,approved,BE0000325;BE0002450;BE0003613;BE0004796;BE0000546;BE0003614;BE0003615;BE0003617;BE0003616;BE0000250
DB00243,2005-06-13,small molecule,approved,BE0000197;BE0001143
DB00244,2005-06-13,small molecule,approved,BE0000262;BE0000017;BE0000248;BE0000215;BE0004655;BE0001154;BE0001075;BE0004429
DB00245,2005-06-13,small molecule,approved,BE0000092;BE0000647;BE0000442
